gene,importance
Grp,0.02
Srd5a2,0.02
Fjx1,0.01808080808080808
Slc12a9,0.017912087912087912
Ccdc141,0.017738095238095237
Tnk2,0.011899999999999999
Begain,0.01
H3f3a-ps2,0.01
Rgs12,0.01
Zfp575,0.01
Tifa,0.01
Casz1,0.01
Habp4,0.01
Depdc7,0.01
Acad11,0.01
Xist,0.01
Alyref,0.01
Nek6,0.01
Fam120aos,0.01
Zfas1,0.01
Stk40,0.01
Pik3ap1,0.01
Magee2,0.01
Metap1,0.01
Isy1,0.01
Slc25a48,0.01
Atf1,0.01
Grk6,0.01
Scyl1,0.01
Kif1c,0.01
Rbfox3,0.01
Map3k11,0.01
Clic3,0.01
AC121821.1,0.01
Cgas,0.01
Gid8,0.01
Eif2s3x,0.01
Rgs7,0.01
Zfp444,0.01
Klf1,0.01
Pi4kb,0.01
Abhd11os,0.01
Polh,0.01
Slamf6,0.01
Tst,0.01
Kdm5d,0.01
Isg20l2,0.01
Eif3f,0.01
Lypd6,0.01
Galnt2,0.01
